y_number,t250,t100,t50,t25,t10,t5,t2,t0,wg_number,clustercode,reference_name,pipeline_time,pipeline_date
Y19-3044,1,7,8,47,137,148,153,162,WG19-00052,RT015_TL174.1.7.8.47.137.148,RT015_TL174,2200,2019-09-17
Y19-2222,1,7,8,47,174,194,200,217,WG19-00059,RT015_TL174.1.7.8.47.174.194,RT015_TL174,,
Y19-2222R,1,7,8,47,174,194,200,217,WG19-00059,RT015_TL174.1.7.8.47.174.194,RT015_TL174,,
Y19-2222SP,1,7,8,47,174,194,200,217,WG19-00059,RT015_TL174.1.7.8.47.174.194,RT015_TL174,,
Y19-2223,1,7,8,47,174,194,200,217,WG19-00059,RT015_TL174.1.7.8.47.174.194,RT015_TL174,,
Y19-2306,1,7,8,47,180,202,208,226,WG19-00061,RT015_TL174.1.7.8.47.180.202,RT015_TL174,,
Y19-2380,1,7,8,47,180,202,208,226,WG19-00061,RT015_TL174.1.7.8.47.180.202,RT015_TL174,,
3198,1,7,8,47,196,223,232,259,WG19-00077,RT015_TL174.1.7.8.47.196.223,RT015_TL174,1157,2019-09-16
Y19-3198,1,7,8,47,196,223,232,259,WG19-00077,RT015_TL174.1.7.8.47.196.223,RT015_TL174,1157,2019-09-16
1140,1,7,8,47,51,54,55,57,WG19-00027,RT015_TL174.1.7.8.47.51.54,RT015_TL174,,
Y19-1611,1,7,8,47,51,54,149,156,WG19-00027,RT015_TL174.1.7.8.47.51.54,RT015_TL174,,
Y19-2218,1,7,8,47,51,54,149,216,WG19-00027,RT015_TL174.1.7.8.47.51.54,RT015_TL174,,
1182SP,1,7,8,47,56,59,61,64,WG19-00030,RT015_TL174.1.7.8.47.56.59,RT015_TL174,,
1501,1,7,8,47,56,59,61,64,WG19-00030,RT015_TL174.1.7.8.47.56.59,RT015_TL174,,
Y19-2164,1,7,8,47,67,160,165,175,WG19-00055,RT015_TL174.1.7.8.47.67.160,RT015_TL174,,
2609-R,1,7,8,47,67,160,165,175,WG19-00055,RT015_TL174.1.7.8.47.67.160,RT015_TL174,,
2609-SP,1,7,8,47,67,160,165,175,WG19-00055,RT015_TL174.1.7.8.47.67.160,RT015_TL174,,
1411,1,7,8,47,72,78,80,84,WG19-00038,RT015_TL174.1.7.8.47.72.78,RT015_TL174,,
Y19-1618,1,7,8,47,72,78,80,157,WG19-00038,RT015_TL174.1.7.8.47.72.78,RT015_TL174,,
Y19-1748,1,7,8,47,72,78,151,159,WG19-00038,RT015_TL174.1.7.8.47.72.78,RT015_TL174,,
Y19-1748.r1,1,7,8,47,72,78,151,159,WG19-00038,RT015_TL174.1.7.8.47.72.78,RT015_TL174,,
60,1,7,8,47,88,94,97,101,WG19-00039,RT015_TL174.1.7.8.47.88.94,RT015_TL174,,
61,1,7,8,47,88,94,97,101,WG19-00039,RT015_TL174.1.7.8.47.88.94,RT015_TL174,,
Y497-RPT,1,7,8,47,88,94,97,101,WG19-00039,RT015_TL174.1.7.8.47.88.94,RT015_TL174,,
709,1,7,8,47,94,100,103,107,WG19-00042,RT015_TL174.1.7.8.47.94.100,RT015_TL174,,
Y80,1,7,8,47,94,100,103,107,WG19-00042,RT015_TL174.1.7.8.47.94.100,RT015_TL174,,
D2016,1,7,8,47,94,109,112,117,WG19-00044,RT015_TL174.1.7.8.47.94.109,RT015_TL174,,
Y2076,1,7,8,47,94,109,112,177,WG19-00044,RT015_TL174.1.7.8.47.94.109,RT015_TL174,,
Y19-2382,1,7,8,47,94,109,112,229,WG19-00044,RT015_TL174.1.7.8.47.94.109,RT015_TL174,,
DIGEST-7-AC,1,7,8,47,94,109,112,229,WG19-00044,RT015_TL174.1.7.8.47.94.109,RT015_TL174,,
DIGEST-7-NGS,1,7,8,47,94,109,112,229,WG19-00044,RT015_TL174.1.7.8.47.94.109,RT015_TL174,,
DIGEST-7,1,7,8,47,94,109,112,252,WG19-00044,RT015_TL174.1.7.8.47.94.109,RT015_TL174,1307,2019-09-02
Y19-3212,1,7,8,47,94,109,230,257,WG19-00044,RT015_TL174.1.7.8.47.94.109,RT015_TL174,1037,2019-09-16
Y19-2631,1,7,8,47,94,210,216,236,WG19-00067,RT015_TL174.1.7.8.47.94.210,RT015_TL174,,
Y19-2762,1,7,8,47,94,210,216,243,WG19-00067,RT015_TL174.1.7.8.47.94.210,RT015_TL174,1644,2019-08-18
882,1,7,8,47,98,104,107,111,WG19-00043,RT015_TL174.1.7.8.47.98.104,RT015_TL174,,
882.r1,1,7,8,47,98,104,107,111,WG19-00043,RT015_TL174.1.7.8.47.98.104,RT015_TL174,,
Y19-2008,1,7,80,107,142,153,158,168,WG19-00053,RT015_TL174.1.7.80.107.142.153,RT015_TL174,,
2641-SP,1,7,80,107,142,153,158,168,WG19-00053,RT015_TL174.1.7.80.107.142.153,RT015_TL174,,
Y19-2838,1,7,80,107,142,153,158,168,WG19-00053,RT015_TL174.1.7.80.107.142.153,RT015_TL174,1247,2019-08-21
Y19-3015,1,7,80,107,142,153,158,168,WG19-00053,RT015_TL174.1.7.80.107.142.153,RT015_TL174,1557,2019-09-10
Y19-3015,1,7,80,107,142,153,158,168,WG19-00053,RT015_TL174.1.7.80.107.142.153,RT015_TL174,1237,2019-09-17
Y19-3015,1,7,80,107,142,153,158,168,WG19-00053,RT015_TL174.1.7.80.107.142.153,RT015_TL174,1952,2019-09-17
Y19-3015,1,7,80,107,142,153,158,168,WG19-00053,RT015_TL174.1.7.80.107.142.153,RT015_TL174,2200,2019-09-17
Y2643LARGE,1,70,86,116,152,169,175,187,WG19-00062,RT015_TL174.1.70.86.116.152.169,RT015_TL174,,
Y2643SMALL,1,70,86,116,152,169,175,187,WG19-00062,RT015_TL174.1.70.86.116.152.169,RT015_TL174,,
Y19-3201,16,37,41,56,189,214,220,241,WG19-00064,RT015_TL174.16.37.41.56.189.214,RT015_TL174,1157,2019-09-16
