y_number,reference_name,original_id,new_t250,new_t100,new_t50,new_t25,new_t10,new_t5,new_t2,new_t0,new_clustercode,new_clustercode_frequency,new_wg_number,new_clustercode_updated,new_data,old_clustercode,old_t250,old_t100,old_t50,old_t25,old_t10,old_t5,old_t2,old_t0,old_wg_number,old_clustercode_frequency,UPDATED
Y19-2631,RT015_TL174,,1,7,8,47,94,210,216,236,RT015_TL174.1.7.8.47.94.210,2,WG19-00065,2019-12-03 16:00:04.176989,,S,1,7,8,47,94,210,216,236,WG19-00000,1,wg_number;clustercode_frequency;clustercode
Y19-2762_190818-1644,RT015_TL174,,1,7,8,47,94,210,216,243,RT015_TL174.1.7.8.47.94.210,2,WG19-00065,2019-12-03 16:00:04.334440,,NA,,,,,,,,,,,
Y19-2838_190821-1247,RT015_TL174,,1,7,80,107,142,153,158,168,RT015_TL174.1.7.80.107.142.153,7,WG19-00051,2019-12-03 16:00:04.335998,,NA,,,,,,,,,,,
Y19-3015_190910-1557,RT015_TL174,,1,7,80,107,142,153,158,168,RT015_TL174.1.7.80.107.142.153,7,WG19-00051,2019-12-03 16:00:04.340995,,NA,,,,,,,,,,,
Y19-3015_190917-1237,RT015_TL174,,1,7,80,107,142,153,158,168,RT015_TL174.1.7.80.107.142.153,7,WG19-00051,2019-12-03 16:00:04.345847,,NA,,,,,,,,,,,
Y19-3015_190917-1952,RT015_TL174,,1,7,80,107,142,153,158,168,RT015_TL174.1.7.80.107.142.153,7,WG19-00051,2019-12-03 16:00:04.348123,,NA,,,,,,,,,,,
Y19-3015_190917-2200,RT015_TL174,,1,7,80,107,142,153,158,168,RT015_TL174.1.7.80.107.142.153,7,WG19-00051,2019-12-03 16:00:04.350661,,NA,,,,,,,,,,,
Y19-3201_190916-1157,RT015_TL174,,16,37,41,56,189,214,220,241,RT015_TL174.16.37.41.56.189.214,5,WG19-00062,2019-12-03 16:00:04.046035,,NA,,,,,,,,,,,
3201_190916-1157,RT015_TL174,,16,37,41,56,189,214,220,241,RT015_TL174.16.37.41.56.189.214,5,WG19-00062,2019-12-03 16:00:04.085461,,NA,,,,,,,,,,,
Y19-2781_190818-1420,RT015_TL174,,16,37,41,56,189,214,220,241,RT015_TL174.16.37.41.56.189.214,5,WG19-00062,2019-12-03 16:00:04.102293,,NA,,,,,,,,,,,
Y19-2765_190818-1644,RT015_TL174,,16,37,41,56,189,214,220,241,RT015_TL174.16.37.41.56.189.214,5,WG19-00062,2019-12-03 16:00:04.103684,,NA,,,,,,,,,,,
Y19-2851_190821-1247,RT015_TL174,,16,37,41,56,189,214,220,247,RT015_TL174.16.37.41.56.189.214,5,WG19-00062,2019-12-03 16:00:04.106177,,NA,,,,,,,,,,,
Y19-2747SP_190818-1644,RT015_TL174,,16,37,41,56,65,71,73,77,RT015_TL174.16.37.41.56.65.71,8,WG19-00013,2019-12-03 16:00:04.104996,,NA,,,,,,,,,,,
Y19-2905-SP_190827-1030,RT015_TL174,,16,37,41,56,65,71,73,77,RT015_TL174.16.37.41.56.65.71,8,WG19-00013,2019-12-03 16:00:04.109168,,NA,,,,,,,,,,,
Y19-3152_190911-1504,RT015_TL174,,16,37,41,56,65,71,73,77,RT015_TL174.16.37.41.56.65.71,8,WG19-00013,2019-12-03 16:00:04.110282,,NA,,,,,,,,,,,
2123,RT015_TL174,,26,45,52,68,80,86,89,93,RT015_TL174.26.45.52.68.80.86,2,WG19-00064,2019-12-03 16:00:04.061302,,S,26,45,52,68,80,86,89,93,WG19-00000,1,wg_number;clustercode_frequency;clustercode
Y19-2759_190818-1644,RT015_TL174,,26,45,52,68,80,86,89,242,RT015_TL174.26.45.52.68.80.86,2,WG19-00064,2019-12-03 16:00:04.067935,,NA,,,,,,,,,,,
Y19-2795_190818-1448,RT015_TL174,,3,3,4,5,44,154,159,169,RT015_TL174.3.3.4.5.44.154,4,WG19-00005,2019-12-03 16:00:04.141591,,NA,,,,,,,,,,,
Y19-3209-SP_190916-1037,RT015_TL174,,3,3,4,5,44,154,229,256,RT015_TL174.3.3.4.5.44.154,4,WG19-00005,2019-12-03 16:00:04.149816,,NA,,,,,,,,,,,
Y19-3096_190910-1557,RT015_TL174,,3,3,4,5,44,195,201,218,RT015_TL174.3.3.4.5.44.195,2,WG19-00063,2019-12-03 16:00:04.048468,,NA,,,,,,,,,,,
